title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_base_in,field_outside_dia_base_mm,field_outside_dia_base_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
LE 014B 05 S316,LE 014B 05 S316,LE014B05S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.25,1.25,31.75,3.175,0.035,0.035,0.89,0.089,0.14,0.14,0.025,0.25,0.0025,0.025,2.5,25,0.014,0.014,0.0025,0.025,0.00025,0.0025,0.25,2.5,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,65.1098,65.1,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,4.576,4.576,116.23,11.623,0.93,0.93,23.62,2.362,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00172,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 06 M,LE 014B 06 M,LE014B06M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.375,1.375,34.93,3.493,0.035,0.035,0.89,0.089,0.15,0.15,0.026,0.26,0.0027,0.027,2.7,27,0.015,0.015,0.0026,0.026,0.00027,0.0027,0.27,2.7,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,72.9229,72.9,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,6.445,6.445,163.7,16.37,1.055,1.055,26.8,2.68,Factory Option,Zinc Plate and Bake per ASTM B633,0.00188,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 06 S,LE 014B 06 S,LE014B06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.375,1.375,34.93,3.493,0.035,0.035,0.89,0.089,0.12,0.12,0.021,0.21,0.0021,0.021,2.1,21,0.012,0.012,0.0021,0.021,0.00021,0.0021,0.21,2.1,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,75.9614,76,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,6.445,6.445,163.7,16.37,1.055,1.055,26.8,2.68,Factory Option,Passivate per ASTM A967,0.002,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 06 S316,LE 014B 06 S316,LE014B06S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.375,1.375,34.93,3.493,0.035,0.035,0.89,0.089,0.12,0.12,0.021,0.21,0.0021,0.021,2.1,21,0.012,0.012,0.0021,0.021,0.00021,0.0021,0.21,2.1,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,75.9614,76,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,5.255,5.255,133.48,13.348,1.055,1.055,26.8,2.68,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.002,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 07 M,LE 014B 07 M,LE014B07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.5,1.5,38.1,3.81,0.035,0.035,0.89,0.089,0.13,0.13,0.023,0.23,0.0023,0.023,2.3,23,0.013,0.013,0.0023,0.023,0.00023,0.0023,0.23,2.3,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,84.1418,84.1,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,7.35,7.35,186.69,18.669,1.18,1.18,29.97,2.997,Factory Option,Zinc Plate and Bake per ASTM B633,0.00217,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 07 S,LE 014B 07 S,LE014B07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.5,1.5,38.1,3.81,0.035,0.035,0.89,0.089,0.11,0.11,0.019,0.19,0.002,0.02,2,20,0.011,0.011,0.0019,0.019,0.0002,0.002,0.2,2,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,82.867,82.9,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,7.35,7.35,186.69,18.669,1.18,1.18,29.97,2.997,Factory Option,Passivate per ASTM A967,0.00217,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 07 S316,LE 014B 07 S316,LE014B07S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.5,1.5,38.1,3.81,0.035,0.035,0.89,0.089,0.11,0.11,0.019,0.19,0.002,0.02,2,20,0.011,0.011,0.0019,0.019,0.0002,0.002,0.2,2,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,82.867,82.9,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,5.733,5.733,145.62,14.562,1.18,1.18,29.97,2.997,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00217,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 08 M,LE 014B 08 M,LE014B08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.625,1.625,41.28,4.128,0.04,0.04,1.02,0.102,0.12,0.12,0.021,0.21,0.0021,0.021,2.1,21,0.012,0.012,0.0021,0.021,0.00021,0.0021,0.21,2.1,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,91.1537,91.2,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,7.955,7.955,202.06,20.206,1.305,1.305,33.15,3.315,Factory Option,Zinc Plate and Bake per ASTM B633,0.00234,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 08 S,LE 014B 08 S,LE014B08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.625,1.625,41.28,4.128,0.04,0.04,1.02,0.102,0.1,0.1,0.018,0.18,0.0018,0.018,1.8,18,0.01,0.01,0.0018,0.018,0.00018,0.0018,0.18,1.8,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,91.1537,91.2,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,7.955,7.955,202.06,20.206,1.305,1.305,33.15,3.315,Factory Option,Passivate per ASTM A967,0.00239,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 08 S316,LE 014B 08 S316,LE014B08S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.625,1.625,41.28,4.128,0.04,0.04,1.02,0.102,0.1,0.1,0.018,0.18,0.0018,0.018,1.8,18,0.01,0.01,0.0018,0.018,0.00018,0.0018,0.18,1.8,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,91.1537,91.2,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,6.282,6.282,159.56,15.956,1.305,1.305,33.15,3.315,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00239,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 09 M,LE 014B 09 M,LE014B09M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,0.04,0.04,1.02,0.102,0.11,0.11,0.019,0.19,0.002,0.02,2,20,0.011,0.011,0.0019,0.019,0.0002,0.002,0.2,2,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,99.4404,99.4,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,8.66,8.66,219.96,21.996,1.43,1.43,36.32,3.632,Factory Option,Zinc Plate and Bake per ASTM B633,0.00255,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 09 S,LE 014B 09 S,LE014B09S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,0.04,0.04,1.02,0.102,0.09,0.09,0.016,0.16,0.0016,0.016,1.6,16,0.009,0.009,0.0016,0.016,0.00016,0.0016,0.16,1.6,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,101.2819,101.3,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.6664,0.6664,2.964,0.3023,302.3,8.66,8.66,219.96,21.996,1.43,1.43,36.32,3.632,Factory Option,Passivate per ASTM A967,0.00265,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 09 S316,LE 014B 09 S316,LE014B09S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,0.04,0.04,1.02,0.102,0.09,0.09,0.016,0.16,0.0016,0.016,1.6,16,0.009,0.009,0.0016,0.016,0.00016,0.0016,0.16,1.6,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,101.2819,101.3,0.014,0.014,0.36,0.036,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.499,0.499,2.22,0.2263,226.3,6.924,6.924,175.87,17.587,1.43,1.43,36.32,3.632,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00265,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
LE 014B 10 M,LE 014B 10 M,LE014B10M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Standard Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.188,0.188,4.78,0.478,0.005,0.005,0.13,0.013,1.875,1.875,47.63,4.763,0.04,0.04,1.02,0.102,0.1,0.1,0.018,0.18,0.0018,0.018,1.8,18,0.01,0.01,0.0018,0.018,0.00018,0.0018,0.18,1.8,0.16,0.16,4.06,0.406,REF,Reference,Reference,Reference,109.3844,109.4,0.014,0.014,0.36,0.036,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.8,0.8,3.559,0.3629,362.9,9.475,9.475,240.67,24.067,1.555,1.555,39.5,3.95,Factory Option,Zinc Plate and Bake per ASTM B633,0.0028,0.16,0.16,4.06,0.406,Random,0.014,0.014,0.36,0.036
