stock_code,price_code,price,min,currency,display_price_range
MS24585-C427,D,4.66,199,$,100-199
MS24585-C427,E,2.93,299,$,200-299
MS24585-C427,F,2.191,399,$,300-399
MS24585-C427,G,1.771,499,$,400-499
MS24585-C427,H,1.496,599,$,500-599
MS24585-C427,I,1.302,699,$,600-699
MS24585-C427,J,1.156,799,$,700-799
MS24585-C427,K,1.041,899,$,800-899
MS24585-C427,L,0.948,999,$,900-999
MS24585-C428,A,15.96,19,$,0-19
MS24585-C428,B,10,49,$,20-49
MS24585-C428,C,6.49,99,$,50-99
MS24585-C428,D,4.66,199,$,100-199
MS24585-C428,E,2.939,299,$,200-299
MS24585-C428,F,2.202,399,$,300-399
MS24585-C428,G,1.78,499,$,400-499
MS24585-C428,H,1.504,599,$,500-599
MS24585-C428,I,1.31,699,$,600-699
MS24585-C428,J,1.163,799,$,700-799
MS24585-C428,K,1.047,899,$,800-899
MS24585-C428,L,0.955,999,$,900-999
MS24585-C429,A,15.96,19,$,0-19
MS24585-C429,B,10,49,$,20-49
MS24585-C429,C,6.49,99,$,50-99
MS24585-C429,D,4.66,199,$,100-199
MS24585-C429,E,2.947,299,$,200-299
MS24585-C429,F,2.211,399,$,300-399
MS24585-C429,G,1.79,499,$,400-499
MS24585-C429,H,1.512,599,$,500-599
MS24585-C429,I,1.316,699,$,600-699
MS24585-C429,J,1.169,799,$,700-799
MS24585-C429,K,1.053,899,$,800-899
MS24585-C429,L,0.96,999,$,900-999
MS24585-C43,A,15.1,19,$,0-19
MS24585-C43,B,9.37,49,$,20-49
MS24585-C43,C,5.97,99,$,50-99
MS24585-C43,D,4.23,199,$,100-199
MS24585-C43,E,2.531,299,$,200-299
MS24585-C43,F,1.854,399,$,300-399
MS24585-C43,G,1.48,499,$,400-499
MS24585-C43,H,1.24,599,$,500-599
MS24585-C43,I,1.07,699,$,600-699
MS24585-C43,J,0.945,799,$,700-799
MS24585-C43,K,0.85,899,$,800-899
MS24585-C43,L,0.771,999,$,900-999
MS24585-C430,A,15.54,19,$,0-19
MS24585-C430,B,9.68,49,$,20-49
MS24585-C430,C,6.24,99,$,50-99
MS24585-C430,D,4.46,199,$,100-199
MS24585-C430,E,2.583,299,$,200-299
MS24585-C430,F,1.867,399,$,300-399
MS24585-C430,G,1.479,499,$,400-499
MS24585-C430,H,1.231,599,$,500-599
MS24585-C430,I,1.059,699,$,600-699
MS24585-C430,J,0.931,799,$,700-799
MS24585-C430,K,0.834,899,$,800-899
MS24585-C430,L,0.755,999,$,900-999
MS24585-C431,A,15.96,19,$,0-19
MS24585-C431,B,10,49,$,20-49
MS24585-C431,C,6.49,99,$,50-99
MS24585-C431,D,4.66,199,$,100-199
MS24585-C431,E,2.659,299,$,200-299
MS24585-C431,F,1.905,399,$,300-399
MS24585-C431,G,1.499,499,$,400-499
MS24585-C431,H,1.244,599,$,500-599
MS24585-C431,I,1.066,699,$,600-699
MS24585-C431,J,0.936,799,$,700-799
MS24585-C431,K,0.837,899,$,800-899
MS24585-C431,L,0.756,999,$,900-999
MS24585-C432,A,15.96,19,$,0-19
MS24585-C432,B,10,49,$,20-49
MS24585-C432,C,6.49,99,$,50-99
MS24585-C432,D,4.66,199,$,100-199
MS24585-C432,E,2.927,299,$,200-299
MS24585-C432,F,2.188,399,$,300-399
MS24585-C432,G,1.768,499,$,400-499
MS24585-C432,H,1.493,599,$,500-599
MS24585-C432,I,1.298,699,$,600-699
MS24585-C432,J,1.154,799,$,700-799
MS24585-C432,K,1.038,899,$,800-899
MS24585-C432,L,0.945,999,$,900-999
MS24585-C433,A,15.96,19,$,0-19
MS24585-C433,B,10,49,$,20-49
MS24585-C433,C,6.49,99,$,50-99
MS24585-C433,D,4.66,199,$,100-199
MS24585-C433,E,2.93,299,$,200-299
MS24585-C433,F,2.191,399,$,300-399
MS24585-C433,G,1.771,499,$,400-499
MS24585-C433,H,1.496,599,$,500-599
MS24585-C433,I,1.302,699,$,600-699
MS24585-C433,J,1.156,799,$,700-799
MS24585-C433,K,1.041,899,$,800-899
MS24585-C433,L,0.948,999,$,900-999
MS24585-C434,A,15.96,19,$,0-19
MS24585-C434,B,10,49,$,20-49
MS24585-C434,C,6.49,99,$,50-99
MS24585-C434,D,4.66,199,$,100-199
MS24585-C434,E,2.939,299,$,200-299
MS24585-C434,F,2.202,399,$,300-399
MS24585-C434,G,1.78,499,$,400-499
MS24585-C434,H,1.504,599,$,500-599
