title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb,field_nominal_load_build_spec_lb,field_nominal_load_lb,field_nominal_load_n,field_nominal_load_kg,field_nominal_load_gm,field_working_height_bud_spc_in,field_working_height_in,field_working_height_mm,field_working_height_cm
LWM28 080 1448S,LWM28 080 1448S,LWM280801448S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.57,0.57,14.48,1.448,0.09,0.09,2.29,0.229,80.281,80.281,14.06,140.6,1.4337,14.337,1433.66,14336.6,20.07,20.07,3.5149,35.149,0.35841,3.5841,358.41,3584.1,0.105,0.105,2.67,0.267,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.331,37.331,166.06,16.933,16933.34,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.011555,17.985,17.985,80,8.158,8158,0.346,0.346,8.79,0.879
LWM28 080 1689S,LWM28 080 1689S,LWM280801689S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.665,0.665,16.89,1.689,0.09,0.09,2.29,0.229,68.633,68.633,12.02,120.2,1.2256,12.256,1225.65,12256.5,17.158,17.158,3.0049,30.049,0.30641,3.0641,306.408,3064.08,0.12,0.12,3.05,0.305,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.405,37.405,166.39,16.967,16966.91,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.013481,17.985,17.985,80,8.158,8158,0.403,0.403,10.24,1.024
LWM28 080 1930S,LWM28 080 1930S,LWM280801930S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.76,0.76,19.3,1.93,0.12,0.12,3.05,0.305,60.125,60.125,10.53,105.3,1.0737,10.737,1073.71,10737.1,15.031,15.031,2.6324,26.324,0.26842,2.6842,268.424,2684.24,0.135,0.135,3.43,0.343,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.578,37.578,167.16,17.045,17045.38,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.015407,17.985,17.985,80,8.158,8158,0.461,0.461,11.71,1.171
LWM28 080 2172S,LWM28 080 2172S,LWM280802172S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.855,0.855,21.72,2.172,0.12,0.12,3.05,0.305,53.502,53.502,9.37,93.7,0.9554,9.554,955.44,9554.4,13.375,13.375,2.3424,23.424,0.23885,2.3885,238.851,2388.51,0.15,0.15,3.81,0.381,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.719,37.719,167.78,17.109,17109.34,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.017333,17.985,17.985,80,8.158,8158,0.519,0.519,13.18,1.318
LWM28 080 2654S,LWM28 080 2654S,LWM280802654S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,1.045,1.045,26.54,2.654,0.15,0.15,3.81,0.381,43.738,43.738,7.66,76.6,0.7811,7.811,781.07,7810.7,10.934,10.934,1.9149,19.149,0.19526,1.9526,195.259,1952.59,0.18,0.18,4.57,0.457,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.833,37.833,168.29,17.161,17161.05,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.021184,17.985,17.985,80,8.158,8158,0.634,0.634,16.1,1.61
LWM28 080 3137S,LWM28 080 3137S,LWM280803137S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,1.235,1.235,31.37,3.137,0.15,0.15,3.81,0.381,37,37,6.48,64.8,0.6607,6.607,660.75,6607.5,9.25,9.25,1.62,16.2,0.16519,1.6519,165.187,1651.87,0.21,0.21,5.33,0.533,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7 PH,37.925,37.925,168.7,17.203,17202.78,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.42,2.642,Reference,Reference,Reference,Reference,,0.025036,17.985,17.985,80,8.158,8158,0.749,0.749,19.02,1.902
LWM28 130 0724S,LWM28 130 0724S,LWM281300724S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.285,0.285,7.24,0.724,0.05,0.05,1.27,0.127,278.301,278.301,48.74,487.4,4.9699,49.699,4969.9,49699,69.575,69.575,12.1849,121.849,1.24247,12.4247,1242.47,12424.7,0.072,0.072,1.83,0.183,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,59.278,59.278,263.68,26.889,26888.5,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.006994,29.225,29.225,130,13.256,13256.46,0.18,0.18,4.57,0.457
LWM28 130 0965S,LWM28 130 0965S,LWM281300965S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.38,0.38,9.65,0.965,0.06,0.06,1.52,0.152,207.269,207.269,36.3,363,3.7014,37.014,3701.41,37014.1,51.817,51.817,9.0749,90.749,0.92535,9.2535,925.348,9253.48,0.09,0.09,2.29,0.229,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,60.108,60.108,267.37,27.265,27264.99,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.009325,29.225,29.225,130,13.256,13256.46,0.239,0.239,6.07,0.607
LWM28 130 1207S,LWM28 130 1207S,LWM281301207S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.475,0.475,12.07,1.207,0.08,0.08,2.03,0.203,166.044,166.044,29.08,290.8,2.9652,29.652,2965.21,29652.1,41.511,41.511,7.2699,72.699,0.7413,7.413,741.303,7413.03,0.108,0.108,2.74,0.274,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,60.938,60.938,271.07,27.641,27641.48,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.011656,29.225,29.225,130,13.256,13256.46,0.299,0.299,7.59,0.759
LWM28 130 1448S,LWM28 130 1448S,LWM281301448S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.57,0.57,14.48,1.448,0.09,0.09,2.29,0.229,138.522,138.522,24.26,242.6,2.4737,24.737,2473.73,24737.3,34.631,34.631,6.065,60.65,0.61844,6.1844,618.44,6184.4,0.126,0.126,3.2,0.32,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,61.504,61.504,273.58,27.898,27898.21,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.013988,29.225,29.225,130,13.256,13256.46,0.359,0.359,9.12,0.912
LWM28 130 1689S,LWM28 130 1689S,LWM281301689S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.665,0.665,16.89,1.689,0.09,0.09,2.29,0.229,118.823,118.823,20.81,208.1,2.1219,21.219,2121.94,21219.4,29.706,29.706,5.2025,52.025,0.53049,5.3049,530.49,5304.9,0.144,0.144,3.66,0.366,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,61.907,61.907,275.38,28.081,28081.02,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.016319,29.225,29.225,130,13.256,13256.46,0.419,0.419,10.64,1.064
LWM28 130 1930S,LWM28 130 1930S,LWM281301930S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.76,0.76,19.3,1.93,0.12,0.12,3.05,0.305,103.977,103.977,18.21,182.1,1.8568,18.568,1856.82,18568.2,25.994,25.994,4.5524,45.524,0.4642,4.642,464.201,4642.01,0.162,0.162,4.12,0.412,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,62.178,62.178,276.58,28.204,28203.94,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.01865,29.225,29.225,130,13.256,13256.46,0.479,0.479,12.17,1.217
LWM28 130 2172S,LWM28 130 2172S,LWM281302172S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,0.855,0.855,21.72,2.172,0.12,0.12,3.05,0.305,92.5,92.5,16.2,162,1.6519,16.519,1651.87,16518.7,23.125,23.125,4.05,40.5,0.41297,4.1297,412.966,4129.66,0.18,0.18,4.57,0.457,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,62.438,62.438,277.74,28.322,28321.88,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.020981,29.225,29.225,130,13.256,13256.46,0.539,0.539,13.69,1.369
LWM28 130 2654S,LWM28 130 2654S,LWM281302654S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.07,1.07,27.18,2.718,Reference,Reference,Reference,Reference,1.102,1.102,28,2.8,0.866,0.866,22,2.2,MIN,MIN,MIN,MIN,1.045,1.045,26.54,2.654,0.15,0.15,3.81,0.381,75.542,75.542,13.23,132.3,1.349,13.49,1349.03,13490.3,18.885,18.885,3.3074,33.074,0.33725,3.3725,337.248,3372.48,0.216,0.216,5.49,0.549,0.018,0.018,0.46,0.046,Stainless Steel Type 17-7 PH,17-7 PH,62.624,62.624,278.57,28.406,28406.25,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.882,0.882,26.26,2.626,Reference,Reference,Reference,Reference,,0.025644,29.225,29.225,130,13.256,13256.46,0.658,0.658,16.71,1.671
