title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LW 100 18 1000S,LW 100 18 1000S,LW100181000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.12,0.12,3.05,0.305,28,28,4.904,49.04,0.5,5,500.02,5000.2,7,7,1.2259,12.259,0.12501,1.2501,125.006,1250.06,0.156,0.156,3.96,0.396,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,23.632,23.632,105.12,10.719,10719.48,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.013695
LW 100 18 1250S,LW 100 18 1250S,LW100181250S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.15,0.15,3.81,0.381,23,23,4.028,40.28,0.4107,4.107,410.73,4107.3,5.75,5.75,1.007,10.07,0.10268,1.0268,102.684,1026.84,0.192,0.192,4.88,0.488,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,24.334,24.334,108.24,11.038,11037.9,Plain (End Turn is Wavy),Factory Option,15,15,Reference,Reference,15,15,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.015435
LW 100 18 1500S,LW 100 18 1500S,LW100181500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.18,0.18,4.57,0.457,19,19,3.328,33.28,0.3393,3.393,339.3,3393,4.75,4.75,0.8319,8.319,0.08483,0.8483,84.826,848.26,0.228,0.228,5.79,0.579,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,24.168,24.168,107.5,10.963,10962.6,Plain (End Turn is Wavy),Factory Option,18,18,Reference,Reference,18,18,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.024664
LW 100 18 1750S,LW 100 18 1750S,LW100181750S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.21,0.21,5.33,0.533,16,16,2.802,28.02,0.2857,2.857,285.73,2857.3,4,4,0.7005,7.005,0.07143,0.7143,71.432,714.32,0.264,0.264,6.71,0.671,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,23.776,23.776,105.76,10.785,10784.79,Plain (End Turn is Wavy),Factory Option,21,21,Reference,Reference,21,21,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.02161
LW 100 18 2000S,LW 100 18 2000S,LW100182000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.25,0.25,6.35,0.635,14,14,2.452,24.52,0.25,2.5,250.01,2500.1,3.5,3.5,0.613,6.13,0.0625,0.625,62.503,625.03,0.3,0.3,7.62,0.762,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,23.8,23.8,105.87,10.796,10795.68,Plain (End Turn is Wavy),Factory Option,24,24,Reference,Reference,24,24,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.032885
LW 100 25 0250S,LW 100 25 0250S,LW100250250S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.03,0.03,0.76,0.076,210,210,36.778,367.78,3.7502,37.502,3750.18,37501.8,52.5,52.5,9.1945,91.945,0.93755,9.3755,937.545,9375.45,0.06,0.06,1.52,0.152,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,39.9,39.9,177.48,18.099,18098.64,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.00428
LW 100 25 0333S,LW 100 25 0333S,LW100250333S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.333,0.333,8.46,0.846,0.06,0.06,1.52,0.152,157,157,27.496,274.96,2.8037,28.037,2803.71,28037.1,39.25,39.25,6.874,68.74,0.70093,7.0093,700.927,7009.27,0.075,0.075,1.91,0.191,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,40.506,40.506,180.18,18.374,18373.52,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.005145
LW 100 25 0417S,LW 100 25 0417S,LW100250417S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.417,0.417,10.59,1.059,0.06,0.06,1.52,0.152,132,132,23.118,231.18,2.3573,23.573,2357.26,23572.6,33,33,5.7794,57.794,0.58931,5.8931,589.314,5893.14,0.09,0.09,2.29,0.229,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,43.164,43.164,192,19.579,19579.19,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.007133
LW 100 25 0500S,LW 100 25 0500S,LW100250500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.5,0.5,12.7,1.27,0.06,0.06,1.52,0.152,107,107,18.739,187.39,1.9108,19.108,1910.81,19108.1,26.75,26.75,4.6848,46.848,0.4777,4.777,477.702,4777.02,0.105,0.105,2.67,0.267,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,42.265,42.265,188,19.171,19171.4,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.010276
LW 100 25 0583S,LW 100 25 0583S,LW100250583S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.583,0.583,14.81,1.481,0.09,0.09,2.29,0.229,95,95,16.638,166.38,1.6965,16.965,1696.51,16965.1,23.75,23.75,4.1594,41.594,0.42413,4.2413,424.128,4241.28,0.12,0.12,3.05,0.305,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,43.985,43.985,195.66,19.952,19951.6,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.009986
LW 100 25 0750S,LW 100 25 0750S,LW100250750S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,0.75,0.75,19.05,1.905,0.09,0.09,2.29,0.229,73,73,12.785,127.85,1.3036,13.036,1303.63,13036.3,18.25,18.25,3.1962,31.962,0.32591,3.2591,325.909,3259.09,0.15,0.15,3.81,0.381,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,43.8,43.8,194.83,19.868,19867.68,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.011576
LW 100 25 1000S,LW 100 25 1000S,LW100251000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1,1,25.4,2.54,0.12,0.12,3.05,0.305,54,54,9.457,94.57,0.9643,9.643,964.33,9643.3,13.5,13.5,2.3643,23.643,0.24108,2.4108,241.083,2410.83,0.195,0.195,4.95,0.495,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,43.47,43.47,193.36,19.718,19717.99,Plain (End Turn is Wavy),Factory Option,12,12,Reference,Reference,12,12,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.017119
LW 100 25 1250S,LW 100 25 1250S,LW100251250S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.25,1.25,31.75,3.175,0.15,0.15,3.81,0.381,45,45,7.881,78.81,0.8036,8.036,803.61,8036.1,11.25,11.25,1.9702,19.702,0.2009,2.009,200.903,2009.03,0.24,0.24,6.1,0.61,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,45.45,45.45,202.17,20.616,20616.12,Plain (End Turn is Wavy),Factory Option,15,15,Reference,Reference,15,15,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.019294
LW 100 25 1500S,LW 100 25 1500S,LW100251500S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.5,1.5,38.1,3.81,0.18,0.18,4.57,0.457,36,36,6.305,63.05,0.6429,6.429,642.89,6428.9,9,9,1.5762,15.762,0.16072,1.6072,160.722,1607.22,0.285,0.285,7.24,0.724,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,43.74,43.74,194.57,19.84,19840.46,Plain (End Turn is Wavy),Factory Option,18,18,Reference,Reference,18,18,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.030829
LW 100 25 1750S,LW 100 25 1750S,LW100251750S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,1.75,1.75,44.45,4.445,0.21,0.21,5.33,0.533,32,32,5.604,56.04,0.5715,5.715,571.46,5714.6,8,8,1.4011,14.011,0.14286,1.4286,142.864,1428.64,0.33,0.33,8.38,0.838,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,45.44,45.44,202.13,20.612,20611.58,Plain (End Turn is Wavy),Factory Option,21,21,Reference,Reference,21,21,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.027011
LW 100 25 2000S,LW 100 25 2000S,LW100252000S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.959,0.959,24.36,2.436,Reference,Reference,Reference,Reference,1,1,25.4,2.54,0.73,0.73,18.54,1.854,MIN,MIN,MIN,MIN,2,2,50.8,5.08,0.25,0.25,6.35,0.635,27,27,4.729,47.29,0.4822,4.822,482.17,4821.7,6.75,6.75,1.1821,11.821,0.12054,1.2054,120.542,1205.42,0.375,0.375,9.53,0.953,0.015,0.015,0.38,0.038,Stainless Steel Type 17-7 PH,17-7,43.875,43.875,195.17,19.902,19901.7,Plain (End Turn is Wavy),Factory Option,24,24,Reference,Reference,24,24,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.771,0.771,19.58,1.958,Reference,Reference,Reference,Reference,,0.041106
LW 112 12 0300S,LW 112 12 0300S,LW112120300S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.082,1.082,27.48,2.748,Reference,Reference,Reference,Reference,1.125,1.125,28.58,2.858,0.85,0.85,21.59,2.159,MIN,MIN,MIN,MIN,0.3,0.3,7.62,0.762,0.06,0.06,1.52,0.152,78,78,13.66,136.6,1.3929,13.929,1392.92,13929.2,19.5,19.5,3.4151,34.151,0.34823,3.4823,348.231,3482.31,0.048,0.048,1.22,0.122,0.012,0.012,0.3,0.03,Stainless Steel Type 17-7 PH,17-7,19.656,19.656,87.43,8.916,8915.96,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.894,0.894,22.71,2.271,Reference,Reference,Reference,Reference,,0.003909
