title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LW 025 05 0125S,LW 025 05 0125S,LW025050125S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.125,0.125,3.18,0.318,0.03,0.03,0.76,0.076,83,83,14.536,145.36,1.4822,14.822,1482.21,14822.1,20.75,20.75,3.634,36.34,0.37055,3.7055,370.554,3705.54,0.048,0.048,1.22,0.122,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.391,6.391,28.43,2.899,2898.96,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000204
LW 025 05 0150S,LW 025 05 0150S,LW025050150S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.15,0.15,3.81,0.381,0.03,0.03,0.76,0.076,67,67,11.734,117.34,1.1965,11.965,1196.49,11964.9,16.75,16.75,2.9335,29.335,0.29912,2.9912,299.122,2991.22,0.056,0.056,1.42,0.142,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.298,6.298,28.01,2.857,2856.77,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000245
LW 025 05 0175S,LW 025 05 0175S,LW025050175S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.175,0.175,4.45,0.445,0.03,0.03,0.76,0.076,59,59,10.333,103.33,1.0536,10.536,1053.62,10536.2,14.75,14.75,2.5832,25.832,0.26341,2.6341,263.406,2634.06,0.064,0.064,1.63,0.163,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.549,6.549,29.13,2.971,2970.63,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000286
LW 025 05 0200S,LW 025 05 0200S,LW025050200S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.2,0.2,5.08,0.508,0.03,0.03,0.76,0.076,50,50,8.757,87.57,0.8929,8.929,892.9,8929,12.5,12.5,2.1892,21.892,0.22323,2.2323,223.225,2232.25,0.072,0.072,1.83,0.183,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.4,6.4,28.47,2.903,2903.04,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000327
LW 025 05 0225S,LW 025 05 0225S,LW025050225S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.225,0.225,5.72,0.572,0.03,0.03,0.76,0.076,48,48,8.406,84.06,0.8572,8.572,857.18,8571.8,12,12,2.1016,21.016,0.2143,2.143,214.296,2142.96,0.08,0.08,2.03,0.203,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.96,6.96,30.96,3.157,3157.06,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000368
LW 025 05 0275S,LW 025 05 0275S,LW025050275S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.275,0.275,6.99,0.699,0.03,0.03,0.76,0.076,39,39,6.83,68.3,0.6965,6.965,696.46,6964.6,9.75,9.75,1.7075,17.075,0.17412,1.7412,174.116,1741.16,0.096,0.096,2.44,0.244,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.981,6.981,31.05,3.167,3166.58,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.00045
LW 025 05 0325S,LW 025 05 0325S,LW025050325S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,0.25,0.25,6.35,0.635,0.15,0.15,3.81,0.381,MIN,MIN,MIN,MIN,0.325,0.325,8.26,0.826,0.03,0.03,0.76,0.076,33,33,5.779,57.79,0.5893,5.893,589.31,5893.1,8.25,8.25,1.4448,14.448,0.14733,1.4733,147.329,1473.29,0.112,0.112,2.85,0.285,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,7.029,7.029,31.27,3.188,3188.35,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.176,0.176,4.47,0.447,Reference,Reference,Reference,Reference,,0.000532
LW 031 03 0114S,LW 031 03 0114S,LW031030114S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.114,0.114,2.9,0.29,0.03,0.03,0.76,0.076,68,68,11.909,119.09,1.2143,12.143,1214.34,12143.4,17,17,2.9773,29.773,0.30359,3.0359,303.586,3035.86,0.032,0.032,0.81,0.081,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,5.576,5.576,24.8,2.529,2529.27,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.00021
LW 031 03 0152S,LW 031 03 0152S,LW031030152S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.152,0.152,3.86,0.386,0.03,0.03,0.76,0.076,54,54,9.457,94.57,0.9643,9.643,964.33,9643.3,13.5,13.5,2.3643,23.643,0.24108,2.4108,241.083,2410.83,0.04,0.04,1.02,0.102,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.048,6.048,26.9,2.743,2743.37,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.00028
LW 031 03 0190S,LW 031 03 0190S,LW031030190S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.19,0.19,4.83,0.483,0.03,0.03,0.76,0.076,42,42,7.356,73.56,0.75,7.5,750.04,7500.4,10.5,10.5,1.8389,18.389,0.18751,1.8751,187.509,1875.09,0.048,0.048,1.22,0.122,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,5.964,5.964,26.53,2.705,2705.27,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000351
LW 031 03 0228S,LW 031 03 0228S,LW031030228S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.228,0.228,5.79,0.579,0.03,0.03,0.76,0.076,36,36,6.305,63.05,0.6429,6.429,642.89,6428.9,9,9,1.5762,15.762,0.16072,1.6072,160.722,1607.22,0.056,0.056,1.42,0.142,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.192,6.192,27.54,2.809,2808.69,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000421
LW 031 03 0266S,LW 031 03 0266S,LW031030266S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.266,0.266,6.76,0.676,0.03,0.03,0.76,0.076,30,30,5.254,52.54,0.5357,5.357,535.74,5357.4,7.5,7.5,1.3135,13.135,0.13394,1.3394,133.935,1339.35,0.064,0.064,1.63,0.163,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.06,6.06,26.96,2.749,2748.82,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000491
LW 031 03 0304S,LW 031 03 0304S,LW031030304S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.304,0.304,7.72,0.772,0.03,0.03,0.76,0.076,28,28,4.904,49.04,0.5,5,500.02,5000.2,7,7,1.2259,12.259,0.12501,1.2501,125.006,1250.06,0.072,0.072,1.83,0.183,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.496,6.496,28.9,2.947,2946.59,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000561
LW 031 03 0342S,LW 031 03 0342S,LW031030342S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.342,0.342,8.69,0.869,0.03,0.03,0.76,0.076,24,24,4.203,42.03,0.4286,4.286,428.59,4285.9,6,6,1.0508,10.508,0.10715,1.0715,107.148,1071.48,0.08,0.08,2.03,0.203,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.288,6.288,27.97,2.852,2852.24,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000631
LW 031 03 0418S,LW 031 03 0418S,LW031030418S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.418,0.418,10.62,1.062,0.03,0.03,0.76,0.076,19,19,3.328,33.28,0.3393,3.393,339.3,3393,4.75,4.75,0.8319,8.319,0.08483,0.8483,84.826,848.26,0.096,0.096,2.44,0.244,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.118,6.118,27.21,2.775,2775.12,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000771
LW 031 03 0494S,LW 031 03 0494S,LW031030494S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.494,0.494,12.55,1.255,0.03,0.03,0.76,0.076,16,16,2.802,28.02,0.2857,2.857,285.73,2857.3,4,4,0.7005,7.005,0.07143,0.7143,71.432,714.32,0.112,0.112,2.85,0.285,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.112,6.112,27.19,2.772,2772.4,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000912
LW 031 06 0114S,LW 031 06 0114S,LW031060114S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.288,0.288,7.32,0.732,Reference,Reference,Reference,Reference,0.312,0.312,7.92,0.792,0.2,0.2,5.08,0.508,MIN,MIN,MIN,MIN,0.114,0.114,2.9,0.29,0.06,0.06,1.52,0.152,143,143,25.044,250.44,2.5537,25.537,2553.69,25536.9,35.75,35.75,6.261,62.61,0.63842,6.3842,638.424,6384.24,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,10.582,10.582,47.07,4.8,4800,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (inch),AMS 5529,0.224,0.224,5.69,0.569,Reference,Reference,Reference,Reference,,0.000263
